Function,Best,Worst,Mean,StdDev
F1,1.00870e+02,1.33744e+04,2.78993e+03,3.34482e+03
F3,3.25715e+04,6.47095e+04,4.68172e+04,8.15360e+03
F4,4.20813e+02,5.17162e+02,4.90082e+02,1.70055e+01
F5,6.29520e+02,6.96072e+02,6.61406e+02,1.29109e+01
F6,6.00006e+02,6.00043e+02,6.00017e+02,6.82599e-03
F7,8.73428e+02,9.44399e+02,9.07419e+02,1.44174e+01
F8,9.22825e+02,9.81243e+02,9.59450e+02,1.14837e+01
F9,9.00000e+02,9.00454e+02,9.00047e+02,1.23516e-01
F10,6.68970e+03,8.05605e+03,7.43506e+03,3.12201e+02
F11,1.15375e+03,1.24827e+03,1.20306e+03,2.79150e+01
F12,2.74986e+04,1.61626e+06,5.07868e+05,3.36472e+05
F13,4.26146e+03,2.13988e+04,8.96068e+03,3.77779e+03
F14,1.48598e+03,1.55130e+03,1.50299e+03,1.12194e+01
F15,1.60165e+03,1.83642e+03,1.68023e+03,5.43501e+01
F16,2.15898e+03,3.11939e+03,2.75116e+03,1.93404e+02
F17,1.84984e+03,2.19287e+03,2.00162e+03,6.89023e+01
F18,4.94390e+03,3.99533e+04,1.62610e+04,8.30573e+03
F19,1.94320e+03,2.00136e+03,1.96620e+03,1.22625e+01
F20,2.26260e+03,2.67279e+03,2.42927e+03,8.49085e+01
F21,2.42117e+03,2.48515e+03,2.45461e+03,1.29424e+01
F22,2.30000e+03,2.30000e+03,2.30000e+03,5.46364e-04
F23,2.78025e+03,2.84801e+03,2.81486e+03,1.44435e+01
F24,2.93105e+03,3.01048e+03,2.97635e+03,1.57166e+01
F25,2.88342e+03,2.88735e+03,2.88687e+03,7.20835e-01
F26,4.94334e+03,5.50546e+03,5.20424e+03,1.27658e+02
F27,3.18114e+03,3.23667e+03,3.20937e+03,1.21300e+01
F28,3.12952e+03,3.25467e+03,3.20953e+03,1.60884e+01
F29,3.68512e+03,4.15618e+03,3.89865e+03,1.15389e+02
F30,1.03959e+04,3.63162e+04,2.04925e+04,5.25187e+03
