Function,Best,Worst,Mean,StdDev
F1,2.84079e+05,4.15352e+06,1.18503e+06,8.87323e+05
F2,2.00000e+02,2.19982e+04,2.46264e+03,4.86230e+03
F3,3.00000e+02,1.02563e+03,3.23010e+02,1.04157e+02
F4,4.00185e+02,5.48824e+02,4.86849e+02,3.19745e+01
F5,5.20769e+02,5.21067e+02,5.20980e+02,6.45557e-02
F6,6.00008e+02,6.11857e+02,6.05073e+02,2.93197e+00
F7,7.00000e+02,7.00025e+02,7.00002e+02,4.70618e-03
F8,8.33335e+02,9.80441e+02,9.32069e+02,3.10468e+01
F9,1.06530e+03,1.11378e+03,1.09156e+03,9.86565e+00
F10,2.26208e+03,6.75418e+03,5.33162e+03,1.00440e+03
F11,6.50901e+03,8.87251e+03,8.31852e+03,3.86131e+02
F12,1.20220e+03,1.20333e+03,1.20281e+03,2.55474e-01
F13,1.30028e+03,1.30056e+03,1.30041e+03,5.96113e-02
F14,1.40023e+03,1.40078e+03,1.40036e+03,1.15431e-01
F15,1.51484e+03,1.51829e+03,1.51653e+03,7.72655e-01
F16,1.61204e+03,1.61323e+03,1.61289e+03,2.30714e-01
F17,3.48978e+03,4.66127e+05,6.17452e+04,8.64447e+04
F18,1.86119e+03,2.24580e+03,1.91854e+03,6.85554e+01
F19,1.90389e+03,1.90896e+03,1.90646e+03,1.16958e+00
F20,2.03578e+03,2.32830e+03,2.07384e+03,5.35316e+01
F21,2.31586e+03,3.12918e+04,4.35579e+03,4.11393e+03
F22,2.22710e+03,2.73193e+03,2.38745e+03,1.51401e+02
F23,2.61524e+03,2.61524e+03,2.61524e+03,4.45263e-06
F24,2.62297e+03,2.64292e+03,2.62837e+03,5.41533e+00
F25,2.70269e+03,2.70574e+03,2.70352e+03,6.83530e-01
F26,2.70026e+03,2.70059e+03,2.70043e+03,7.40029e-02
F27,3.00006e+03,3.28243e+03,3.09459e+03,6.24294e+01
F28,3.48744e+03,4.48952e+03,3.72533e+03,1.56045e+02
F29,3.68558e+03,1.11306e+07,1.70746e+06,3.58211e+06
F30,3.77521e+03,8.57741e+03,5.70513e+03,1.30794e+03
