Function,Best,Worst,Mean,StdDev
F1,1.14379e+02,8.49229e+03,1.83765e+03,1.78908e+03
F3,6.93265e+04,1.94887e+05,1.44585e+05,3.09690e+04
F4,4.06672e+02,4.98992e+02,4.71643e+02,1.75679e+01
F5,5.72584e+02,6.37753e+02,6.02137e+02,1.34371e+01
F6,6.00003e+02,6.00020e+02,6.00009e+02,4.03548e-03
F7,7.93923e+02,8.48552e+02,8.18595e+02,1.19681e+01
F8,8.81429e+02,9.52593e+02,9.12852e+02,1.48829e+01
F9,1.21168e+03,5.41472e+03,2.72452e+03,8.82314e+02
F10,2.82061e+03,4.30605e+03,3.65603e+03,3.12392e+02
F11,1.26421e+03,6.21564e+03,2.58751e+03,1.03596e+03
F12,2.49822e+05,2.87137e+06,1.29677e+06,7.11723e+05
F13,3.34500e+03,1.15001e+05,3.14320e+04,2.26141e+04
F14,2.93349e+04,1.28012e+06,3.63673e+05,2.77624e+05
F15,2.08941e+03,6.64035e+04,1.32857e+04,1.32411e+04
F16,2.04680e+03,2.76271e+03,2.34736e+03,1.54786e+02
F17,1.79646e+03,2.28619e+03,2.02706e+03,1.19999e+02
F18,6.73822e+04,1.44301e+06,5.09580e+05,3.34251e+05
F19,2.31275e+03,2.97622e+04,1.09364e+04,6.92408e+03
F20,2.08246e+03,2.59271e+03,2.31863e+03,1.09493e+02
F21,2.22176e+03,2.46933e+03,2.37350e+03,7.31917e+01
F22,2.30960e+03,6.14258e+03,3.50768e+03,1.53698e+03
F23,2.68824e+03,2.78822e+03,2.74746e+03,2.77762e+01
F24,2.61124e+03,3.12313e+03,2.96746e+03,1.60939e+02
F25,2.88435e+03,2.89860e+03,2.88941e+03,2.36715e+00
F26,2.82823e+03,5.32440e+03,3.47851e+03,7.78422e+02
F27,3.19381e+03,3.23437e+03,3.21936e+03,7.32270e+00
F28,3.22151e+03,3.26493e+03,3.23701e+03,1.05426e+01
F29,3.48097e+03,3.93578e+03,3.66181e+03,1.00600e+02
F30,7.89459e+03,4.16207e+04,1.76101e+04,6.90268e+03
