Function,Best,Worst,Mean,StdDev
F1,4.65080e+04,2.75344e+05,1.16280e+05,4.60624e+04
F2,1.46718e+03,3.59490e+03,2.51647e+03,3.93212e+02
F3,7.30533e+02,8.39144e+02,7.77731e+02,2.31414e+01
F4,1.90000e+03,1.90785e+03,1.90369e+03,1.79135e+00
F5,2.29369e+04,1.09713e+06,3.41908e+05,2.32735e+05
F6,1.61761e+03,2.12317e+03,1.72501e+03,1.03466e+02
F7,9.53287e+03,8.25198e+05,2.19481e+05,2.00563e+05
F8,2.30406e+03,5.99583e+03,4.01567e+03,1.35692e+03
F9,2.84476e+03,2.99421e+03,2.89097e+03,3.20534e+01
F10,2.91134e+03,3.01372e+03,2.93201e+03,3.08522e+01
