Function,Best,Worst,Mean,StdDev
F1,1.96029e+03,1.87093e+04,9.15576e+03,4.04448e+03
F2,4.49168e+02,6.52129e+02,4.96968e+02,4.45457e+01
F3,6.00210e+02,6.11738e+02,6.04244e+02,2.76993e+00
F4,8.17175e+02,9.30363e+02,8.59484e+02,3.22160e+01
F5,9.15939e+02,2.45054e+03,1.20329e+03,2.98003e+02
F6,2.11303e+03,6.30152e+07,3.89071e+06,1.20053e+07
F7,2.02338e+03,2.15890e+03,2.07050e+03,3.20662e+01
F8,2.22339e+03,2.36008e+03,2.26155e+03,5.27043e+01
F9,2.48104e+03,2.56157e+03,2.50521e+03,1.96600e+01
F10,2.50052e+03,6.13703e+03,3.47623e+03,8.00020e+02
F11,2.72651e+03,4.55688e+03,3.35961e+03,3.17055e+02
F12,2.93757e+03,3.04809e+03,2.96426e+03,2.23101e+01
