Function,Best,Worst,Mean,StdDev
F1,4.04665e+09,1.02492e+10,6.48318e+09,1.10219e+09
F3,8.09550e+04,1.98970e+05,1.25577e+05,1.95345e+04
F4,8.07851e+02,1.47057e+03,1.12648e+03,1.40365e+02
F5,7.25805e+02,7.98668e+02,7.59015e+02,1.69773e+01
F6,6.36925e+02,6.58116e+02,6.45484e+02,5.05774e+00
F7,1.01832e+03,1.10542e+03,1.06137e+03,2.21668e+01
F8,9.96658e+02,1.05895e+03,1.03289e+03,1.41696e+01
F9,3.08538e+03,5.87818e+03,4.56300e+03,7.12448e+02
F10,7.31876e+03,8.66705e+03,8.07259e+03,3.18610e+02
F11,1.71037e+03,2.60186e+03,2.07514e+03,1.80947e+02
F12,2.42548e+08,7.42215e+08,5.00431e+08,1.15247e+08
F13,2.53165e+07,1.02571e+08,5.76651e+07,1.87083e+07
F14,1.73224e+04,1.09738e+05,5.14229e+04,2.17704e+04
F15,1.28789e+05,1.55706e+06,7.50208e+05,3.44044e+05
F16,2.99333e+03,3.87976e+03,3.48411e+03,1.82793e+02
F17,1.96827e+03,2.62945e+03,2.38378e+03,1.30890e+02
F18,4.71858e+05,3.33675e+06,1.57854e+06,7.37281e+05
F19,4.16938e+05,8.50425e+06,3.53306e+06,1.84845e+06
F20,2.39395e+03,2.92481e+03,2.68048e+03,1.27829e+02
F21,2.47526e+03,2.57118e+03,2.53558e+03,2.01579e+01
F22,3.30629e+03,1.01755e+04,8.53007e+03,2.13147e+03
F23,2.91315e+03,3.00534e+03,2.96325e+03,2.17949e+01
F24,3.08212e+03,3.16848e+03,3.12280e+03,1.99939e+01
F25,3.07068e+03,3.23758e+03,3.14416e+03,3.71618e+01
F26,5.73830e+03,7.08318e+03,6.55707e+03,2.82370e+02
F27,3.31664e+03,3.43429e+03,3.36493e+03,2.82894e+01
F28,3.51848e+03,3.83115e+03,3.63602e+03,6.40850e+01
F29,4.25426e+03,4.99425e+03,4.54405e+03,1.66869e+02
F30,5.27504e+06,2.75828e+07,1.29112e+07,4.14734e+06
