Function,Best,Worst,Mean,StdDev
F1,6.08357e+09,9.62772e+09,7.84741e+09,9.83258e+08
F3,9.01300e+04,1.98506e+05,1.35323e+05,2.60663e+04
F4,9.25148e+02,1.90676e+03,1.24818e+03,2.15242e+02
F5,7.08394e+02,7.91373e+02,7.59370e+02,1.81857e+01
F6,6.37261e+02,6.54603e+02,6.48863e+02,3.72981e+00
F7,1.03205e+03,1.11932e+03,1.07566e+03,2.21409e+01
F8,1.00433e+03,1.07246e+03,1.04376e+03,1.56050e+01
F9,3.90588e+03,6.30348e+03,5.03695e+03,7.03691e+02
F10,7.52248e+03,8.85686e+03,8.19021e+03,3.29536e+02
F11,1.79449e+03,2.91144e+03,2.29973e+03,2.91641e+02
F12,4.14508e+08,9.76018e+08,6.22350e+08,1.55018e+08
F13,3.76990e+07,1.75384e+08,8.73952e+07,3.22202e+07
F14,1.55831e+04,1.62271e+05,7.47841e+04,3.54971e+04
F15,3.10863e+05,2.65899e+06,1.09907e+06,5.58438e+05
F16,3.37624e+03,3.92360e+03,3.64208e+03,1.59921e+02
F17,2.17818e+03,2.67543e+03,2.49025e+03,1.26340e+02
F18,2.24245e+05,3.52139e+06,2.01172e+06,7.70694e+05
F19,8.65768e+05,1.18594e+07,4.93848e+06,2.65822e+06
F20,2.50083e+03,3.02512e+03,2.80450e+03,1.30099e+02
F21,2.51950e+03,2.58370e+03,2.54948e+03,1.38428e+01
F22,4.38354e+03,1.01891e+04,9.19286e+03,1.60621e+03
F23,2.92750e+03,3.02101e+03,2.97830e+03,2.20804e+01
F24,3.09700e+03,3.16122e+03,3.13577e+03,1.73340e+01
F25,3.10597e+03,3.28471e+03,3.18206e+03,5.14063e+01
F26,5.31480e+03,7.40984e+03,6.66107e+03,3.48095e+02
F27,3.33329e+03,3.45263e+03,3.37891e+03,2.73431e+01
F28,3.48278e+03,3.79852e+03,3.67613e+03,7.03322e+01
F29,4.20575e+03,4.93453e+03,4.63352e+03,1.70732e+02
F30,7.56090e+06,2.47908e+07,1.58350e+07,4.89756e+06
