Function,Best,Worst,Mean,StdDev
F1,1.05775e+02,1.27487e+09,1.37151e+08,2.86513e+08
F2,1.24881e+03,2.74885e+03,1.96561e+03,3.50109e+02
F3,7.32020e+02,7.76629e+02,7.47513e+02,7.83276e+00
F4,1.90104e+03,1.90515e+03,1.90222e+03,8.22423e-01
F5,8.49288e+03,5.66904e+05,1.76910e+05,1.32874e+05
F6,1.60252e+03,2.06754e+03,1.82643e+03,1.29547e+02
F7,5.79237e+03,7.52900e+05,1.26150e+05,1.65655e+05
F8,2.30000e+03,5.23752e+03,2.80821e+03,8.35706e+02
F9,2.84962e+03,3.05242e+03,2.89964e+03,3.47912e+01
F10,2.91382e+03,3.15545e+03,2.93944e+03,4.63272e+01
