Function,Best,Worst,Mean,StdDev
F1,1.79741e+02,1.01370e+04,2.76775e+03,2.50065e+03
F3,1.65404e+04,4.19669e+04,2.91667e+04,5.73852e+03
F4,4.04507e+02,5.28076e+02,4.92465e+02,2.52484e+01
F5,5.54723e+02,6.19751e+02,5.82547e+02,1.59281e+01
F6,6.00008e+02,6.00165e+02,6.00037e+02,2.70090e-02
F7,7.73106e+02,8.89565e+02,8.22630e+02,2.96564e+01
F8,8.42784e+02,9.15892e+02,8.72619e+02,1.63848e+01
F9,9.06357e+02,1.38402e+03,9.59931e+02,8.94555e+01
F10,4.72474e+03,6.02086e+03,5.42535e+03,3.19856e+02
F11,1.11223e+03,1.23332e+03,1.16041e+03,2.77335e+01
F12,4.14277e+04,2.25125e+06,7.69356e+05,5.80316e+05
F13,1.34974e+03,7.66156e+04,1.50826e+04,1.64802e+04
F14,1.56023e+03,5.78132e+04,7.49404e+03,9.36586e+03
F15,1.55010e+03,1.31145e+04,2.76276e+03,2.12787e+03
F16,1.72664e+03,2.74072e+03,2.22121e+03,2.03872e+02
F17,1.73544e+03,2.14760e+03,1.86375e+03,8.84514e+01
F18,2.91850e+04,5.00604e+05,1.41448e+05,1.07031e+05
F19,1.94519e+03,1.75923e+04,5.68002e+03,2.84721e+03
F20,2.02315e+03,2.44917e+03,2.16575e+03,7.09710e+01
F21,2.33305e+03,2.39157e+03,2.36062e+03,1.43576e+01
F22,2.30002e+03,2.30482e+03,2.30077e+03,1.38845e+00
F23,2.68560e+03,2.76722e+03,2.71661e+03,1.81610e+01
F24,2.86468e+03,2.94449e+03,2.90180e+03,1.83534e+01
F25,2.88352e+03,2.94358e+03,2.90411e+03,1.99206e+01
F26,2.80003e+03,6.53256e+03,4.08984e+03,1.21970e+03
F27,3.19372e+03,3.25958e+03,3.22401e+03,1.50728e+01
F28,3.20416e+03,3.26876e+03,3.23590e+03,2.25294e+01
F29,3.31669e+03,3.90458e+03,3.47928e+03,1.12112e+02
F30,5.74722e+03,1.48957e+04,7.97600e+03,1.98562e+03
