Function,Best,Worst,Mean,StdDev
F1,3.97365e+09,1.06575e+10,6.46139e+09,1.45928e+09
F2,3.74877e+03,5.70007e+03,5.00068e+03,3.88670e+02
F3,8.78184e+02,9.93877e+02,9.18045e+02,2.50619e+01
F4,1.90000e+03,1.91268e+03,1.90135e+03,2.92750e+00
F5,2.02780e+05,2.85410e+06,1.16505e+06,5.86414e+05
F6,2.06639e+03,2.59275e+03,2.30759e+03,1.51030e+02
F7,9.69230e+04,1.22333e+06,3.77672e+05,2.48498e+05
F8,2.74570e+03,7.11852e+03,4.78307e+03,1.88577e+03
F9,2.95485e+03,3.03209e+03,2.99223e+03,2.13645e+01
F10,3.00560e+03,3.39799e+03,3.16109e+03,7.40536e+01
