Function,Best,Worst,Mean,StdDev
F1,1.66500e+06,8.63176e+08,9.77284e+07,1.53569e+08
F3,5.30369e+03,3.84713e+04,1.96953e+04,7.19665e+03
F4,4.75602e+02,6.51398e+02,5.16009e+02,2.98491e+01
F5,5.77839e+02,7.56410e+02,6.57197e+02,3.88202e+01
F6,6.09788e+02,6.58382e+02,6.26239e+02,1.07528e+01
F7,8.29918e+02,1.01469e+03,9.09360e+02,5.33488e+01
F8,9.02735e+02,1.02837e+03,9.68849e+02,2.99308e+01
F9,2.00576e+03,1.47301e+04,5.95517e+03,3.05499e+03
F10,3.80815e+03,6.35974e+03,5.00990e+03,5.87070e+02
F11,1.23241e+03,1.52893e+03,1.38430e+03,7.52409e+01
F12,8.66214e+05,3.05805e+07,1.08508e+07,6.26257e+06
F13,6.48434e+04,8.78068e+05,3.26869e+05,2.21879e+05
F14,7.88886e+03,4.13978e+05,8.89317e+04,7.04042e+04
F15,1.89786e+04,3.40190e+05,1.04046e+05,7.60910e+04
F16,2.02859e+03,3.41986e+03,2.71984e+03,3.22518e+02
F17,1.82202e+03,2.75962e+03,2.25686e+03,2.50082e+02
F18,2.34999e+05,6.00201e+06,1.50165e+06,1.48432e+06
F19,5.70134e+03,2.11639e+05,4.76817e+04,4.11983e+04
F20,2.16987e+03,3.16674e+03,2.55373e+03,2.19094e+02
F21,2.39817e+03,2.53157e+03,2.45917e+03,3.28996e+01
F22,2.31786e+03,8.81667e+03,6.28052e+03,1.20394e+03
F23,2.73225e+03,2.89818e+03,2.81359e+03,3.63704e+01
F24,2.91377e+03,3.10486e+03,2.99232e+03,4.50481e+01
F25,2.88837e+03,3.00341e+03,2.92068e+03,2.98332e+01
F26,4.53547e+03,6.99486e+03,5.47977e+03,5.03370e+02
F27,3.20617e+03,3.26077e+03,3.23246e+03,1.27131e+01
F28,3.22027e+03,3.42244e+03,3.31520e+03,4.77807e+01
F29,3.48180e+03,4.52012e+03,3.98889e+03,2.55393e+02
F30,6.00838e+04,3.38164e+06,6.89552e+05,6.23604e+05
