Function,Best,Worst,Mean,StdDev
F1,1.64798e+04,6.11395e+04,3.87339e+04,9.96333e+03
F2,4.02297e+02,4.49345e+02,4.30128e+02,1.38770e+01
F3,6.00000e+02,6.00000e+02,6.00000e+02,5.66767e-05
F4,8.76646e+02,1.01723e+03,9.32443e+02,2.35892e+01
F5,2.71284e+03,6.47831e+03,4.39304e+03,8.01857e+02
F6,2.15380e+03,1.89806e+04,5.42119e+03,2.98553e+03
F7,2.01873e+03,2.06540e+03,2.04033e+03,1.12785e+01
F8,2.22159e+03,2.22457e+03,2.22276e+03,5.98930e-01
F9,2.41041e+03,2.48177e+03,2.47431e+03,1.84244e+01
F10,2.40019e+03,2.40962e+03,2.40352e+03,2.22871e+00
F11,2.60021e+03,2.90012e+03,2.66374e+03,6.91508e+01
F12,2.94054e+03,2.96264e+03,2.95040e+03,5.32741e+00
