F1,4.82502e+04,3.78243e+04,3.48823e+04,4.65042e+04,5.09870e+04,3.84856e+04,4.22682e+04,2.13175e+04,5.21788e+04,3.19937e+04,3.23741e+04,3.90477e+04,3.38970e+04,4.14508e+04,4.67653e+04,3.17667e+04,4.06112e+04,3.36895e+04,5.26490e+04,4.57920e+04,3.77574e+04,1.98206e+04,2.88741e+04,1.64798e+04,3.53009e+04,4.37360e+04,2.78305e+04,5.18611e+04,4.05655e+04,3.67221e+04,4.56774e+04,3.47240e+04,6.11395e+04,5.57444e+04,4.28397e+04,5.08924e+04,3.31799e+04,4.48097e+04,5.35801e+04,2.39109e+04,3.28423e+04,4.28619e+04,2.78569e+04,3.16293e+04,4.98756e+04,2.58903e+04,3.42454e+04,3.97578e+04,4.19114e+04,2.16433e+04
F2,4.49119e+02,4.10269e+02,4.32746e+02,4.29882e+02,4.06725e+02,4.13166e+02,4.36264e+02,4.29354e+02,4.31230e+02,4.22837e+02,4.39613e+02,4.45225e+02,4.32902e+02,4.05665e+02,4.30502e+02,4.45279e+02,4.11388e+02,4.12768e+02,4.44926e+02,4.12378e+02,4.49345e+02,4.49190e+02,4.29528e+02,4.33708e+02,4.29696e+02,4.02297e+02,4.45026e+02,4.05354e+02,4.31175e+02,4.30837e+02,4.33238e+02,4.31499e+02,4.07120e+02,4.06722e+02,4.30850e+02,4.45111e+02,4.30952e+02,4.44975e+02,4.10561e+02,4.31979e+02,4.21977e+02,4.49164e+02,4.45023e+02,4.36154e+02,4.45031e+02,4.33170e+02,4.32702e+02,4.45023e+02,4.42646e+02,4.34099e+02
F3,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02,6.00000e+02
F4,8.76646e+02,9.43963e+02,9.16872e+02,9.09777e+02,9.30917e+02,9.07546e+02,8.86250e+02,9.35906e+02,9.06114e+02,8.98522e+02,9.00856e+02,9.72941e+02,9.35330e+02,9.45032e+02,9.23599e+02,9.29316e+02,9.46761e+02,9.42312e+02,9.61716e+02,9.40551e+02,9.58386e+02,9.49216e+02,9.36484e+02,9.61976e+02,9.27720e+02,9.31085e+02,9.22665e+02,9.24303e+02,9.28980e+02,9.03936e+02,9.41177e+02,9.45384e+02,9.07808e+02,9.25353e+02,9.47866e+02,9.22174e+02,9.46402e+02,9.07016e+02,1.01723e+03,9.30761e+02,9.56880e+02,9.18095e+02,9.40870e+02,9.58052e+02,9.27734e+02,9.51331e+02,9.24203e+02,9.54399e+02,9.10094e+02,9.33660e+02
F5,4.52202e+03,2.71284e+03,4.31176e+03,3.64884e+03,4.47201e+03,3.51667e+03,5.38173e+03,3.65582e+03,6.20769e+03,3.96538e+03,3.38174e+03,4.48796e+03,4.82851e+03,3.87063e+03,5.05708e+03,4.52453e+03,5.05405e+03,3.92918e+03,4.98083e+03,3.21122e+03,3.42307e+03,5.60434e+03,4.81836e+03,4.12374e+03,4.87877e+03,4.64668e+03,3.83063e+03,5.04155e+03,4.40925e+03,4.74264e+03,4.89814e+03,4.44104e+03,4.31224e+03,3.84036e+03,4.70707e+03,6.47831e+03,3.39106e+03,4.67725e+03,3.47246e+03,4.29023e+03,5.15370e+03,3.46949e+03,5.67896e+03,4.79644e+03,2.97334e+03,4.00707e+03,4.40252e+03,3.21481e+03,4.96456e+03,5.24335e+03
F6,5.08243e+03,1.10910e+04,2.75850e+03,4.14856e+03,2.68812e+03,3.41234e+03,3.45919e+03,4.15959e+03,7.08308e+03,2.18819e+03,3.24839e+03,2.67659e+03,4.11481e+03,7.15209e+03,3.96359e+03,5.93781e+03,3.08480e+03,4.25131e+03,6.58290e+03,7.92634e+03,1.89806e+04,2.97073e+03,5.98512e+03,3.75102e+03,2.15380e+03,5.45623e+03,8.06506e+03,2.22954e+03,4.81512e+03,4.42803e+03,9.34932e+03,4.64850e+03,2.22012e+03,5.61009e+03,3.24644e+03,7.24097e+03,3.99384e+03,7.24929e+03,4.36630e+03,5.11441e+03,9.95514e+03,1.10226e+04,5.07875e+03,4.76848e+03,4.38559e+03,9.76395e+03,6.30331e+03,3.65012e+03,4.50626e+03,4.74091e+03
F7,2.03027e+03,2.05670e+03,2.05442e+03,2.03755e+03,2.02813e+03,2.01873e+03,2.03864e+03,2.05286e+03,2.03372e+03,2.05415e+03,2.04576e+03,2.02701e+03,2.05165e+03,2.04033e+03,2.04575e+03,2.03141e+03,2.04371e+03,2.03184e+03,2.03083e+03,2.03529e+03,2.03138e+03,2.05791e+03,2.03153e+03,2.05498e+03,2.02994e+03,2.05759e+03,2.05026e+03,2.04665e+03,2.05126e+03,2.02915e+03,2.03028e+03,2.03380e+03,2.02884e+03,2.05410e+03,2.05597e+03,2.04347e+03,2.06540e+03,2.04001e+03,2.04243e+03,2.03377e+03,2.03623e+03,2.03009e+03,2.02762e+03,2.03100e+03,2.03903e+03,2.02926e+03,2.02761e+03,2.04185e+03,2.06378e+03,2.03276e+03
F8,2.22345e+03,2.22253e+03,2.22249e+03,2.22318e+03,2.22343e+03,2.22301e+03,2.22210e+03,2.22214e+03,2.22290e+03,2.22273e+03,2.22457e+03,2.22213e+03,2.22252e+03,2.22275e+03,2.22354e+03,2.22255e+03,2.22234e+03,2.22251e+03,2.22198e+03,2.22265e+03,2.22227e+03,2.22183e+03,2.22300e+03,2.22197e+03,2.22285e+03,2.22286e+03,2.22259e+03,2.22363e+03,2.22159e+03,2.22160e+03,2.22343e+03,2.22225e+03,2.22247e+03,2.22252e+03,2.22290e+03,2.22299e+03,2.22272e+03,2.22300e+03,2.22265e+03,2.22340e+03,2.22248e+03,2.22346e+03,2.22377e+03,2.22329e+03,2.22236e+03,2.22250e+03,2.22336e+03,2.22386e+03,2.22237e+03,2.22255e+03
F9,2.48079e+03,2.48101e+03,2.48079e+03,2.48106e+03,2.48105e+03,2.48095e+03,2.48083e+03,2.41041e+03,2.48134e+03,2.48105e+03,2.42171e+03,2.48084e+03,2.48082e+03,2.48102e+03,2.48081e+03,2.48089e+03,2.48079e+03,2.48088e+03,2.48090e+03,2.48096e+03,2.48090e+03,2.48078e+03,2.48104e+03,2.48105e+03,2.48081e+03,2.48095e+03,2.48082e+03,2.48079e+03,2.48087e+03,2.42119e+03,2.48177e+03,2.48083e+03,2.48086e+03,2.44025e+03,2.48082e+03,2.48079e+03,2.48112e+03,2.48086e+03,2.48107e+03,2.41704e+03,2.48097e+03,2.48080e+03,2.48079e+03,2.44379e+03,2.48106e+03,2.48079e+03,2.48111e+03,2.48081e+03,2.48088e+03,2.48083e+03
F10,2.40381e+03,2.40212e+03,2.40201e+03,2.40035e+03,2.40187e+03,2.40526e+03,2.40377e+03,2.40531e+03,2.40196e+03,2.40737e+03,2.40328e+03,2.40528e+03,2.40190e+03,2.40557e+03,2.40860e+03,2.40035e+03,2.40354e+03,2.40092e+03,2.40235e+03,2.40019e+03,2.40539e+03,2.40535e+03,2.40370e+03,2.40204e+03,2.40216e+03,2.40226e+03,2.40188e+03,2.40530e+03,2.40358e+03,2.40205e+03,2.40531e+03,2.40670e+03,2.40046e+03,2.40414e+03,2.40358e+03,2.40724e+03,2.40195e+03,2.40547e+03,2.40194e+03,2.40220e+03,2.40199e+03,2.40229e+03,2.40031e+03,2.40696e+03,2.40407e+03,2.40214e+03,2.40962e+03,2.40575e+03,2.40207e+03,2.40203e+03
