Function,Best,Worst,Mean,StdDev
F1,1.00000e+02,1.29644e+02,1.00936e+02,4.74544e+00
F2,1.45498e+03,4.94946e+03,3.93953e+03,6.97518e+02
F3,7.59499e+02,8.27495e+02,8.11767e+02,1.24384e+01
F4,1.90696e+03,1.91002e+03,1.90833e+03,6.67634e-01
F5,1.73822e+03,2.91375e+03,2.08813e+03,2.56782e+02
F6,1.60164e+03,1.76536e+03,1.63426e+03,3.60737e+01
F7,2.10186e+03,2.57596e+03,2.20852e+03,1.15810e+02
F8,2.30000e+03,6.63286e+03,2.47322e+03,8.48594e+02
F9,2.81079e+03,2.90753e+03,2.86760e+03,3.28388e+01
F10,2.91002e+03,2.96104e+03,2.91449e+03,6.68724e+00
