Function,Best,Worst,Mean,StdDev
F1,1.11776e+07,2.12306e+08,6.61003e+07,3.68788e+07
F2,6.91226e+07,7.24241e+09,1.76418e+09,1.76404e+09
F3,1.57076e+04,5.78229e+04,3.45726e+04,9.60712e+03
F4,5.31183e+02,8.42637e+02,6.32359e+02,6.86831e+01
F5,5.20829e+02,5.21090e+02,5.21021e+02,4.78505e-02
F6,6.09759e+02,6.20202e+02,6.13860e+02,2.20935e+00
F7,7.02518e+02,7.47707e+02,7.12674e+02,9.74685e+00
F8,8.44837e+02,9.67329e+02,8.79967e+02,2.29710e+01
F9,9.46139e+02,1.17159e+03,1.01195e+03,5.28984e+01
F10,1.82031e+03,6.66984e+03,3.33119e+03,8.74054e+02
F11,2.66885e+03,8.30983e+03,4.30256e+03,1.11063e+03
F12,1.20025e+03,1.20360e+03,1.20285e+03,5.18052e-01
F13,1.30030e+03,1.30237e+03,1.30054e+03,3.68337e-01
F14,1.40021e+03,1.41543e+03,1.40150e+03,2.95430e+00
F15,1.50803e+03,3.95684e+03,1.63539e+03,3.90796e+02
F16,1.60985e+03,1.61321e+03,1.61168e+03,6.16146e-01
F17,2.58834e+05,8.68468e+06,2.04923e+06,2.02499e+06
F18,2.45334e+03,1.23727e+08,1.16155e+07,2.58760e+07
F19,1.91056e+03,1.99788e+03,1.93882e+03,2.77467e+01
F20,8.56417e+03,5.05475e+04,2.16354e+04,8.46295e+03
F21,5.12209e+04,7.13136e+06,1.09005e+06,1.92649e+06
F22,2.25071e+03,3.10937e+03,2.58677e+03,1.82952e+02
F23,2.61903e+03,2.66216e+03,2.63315e+03,9.11691e+00
F24,2.60001e+03,2.60003e+03,2.60002e+03,6.21109e-03
F25,2.70000e+03,2.71999e+03,2.71224e+03,3.94452e+00
F26,2.70020e+03,2.94973e+03,2.74274e+03,6.65071e+01
F27,3.13129e+03,3.50668e+03,3.37224e+03,8.60916e+01
F28,3.61119e+03,5.01137e+03,3.98947e+03,3.07296e+02
F29,9.78117e+03,2.42752e+07,1.89909e+06,5.13509e+06
F30,1.78292e+04,2.01361e+05,6.21111e+04,4.54806e+04
