Function,Best,Worst,Mean,StdDev
F1,1.81793e+04,4.12082e+04,2.93040e+04,5.64343e+03
F2,5.04487e+02,5.88161e+02,5.41464e+02,1.83420e+01
F3,6.22284e+02,6.38604e+02,6.30425e+02,3.79539e+00
F4,8.95183e+02,9.45128e+02,9.20944e+02,1.01511e+01
F5,1.30368e+03,1.86846e+03,1.52307e+03,1.34810e+02
F6,1.69946e+06,2.10276e+07,9.55143e+06,4.71805e+06
F7,2.07960e+03,2.14867e+03,2.11473e+03,1.53579e+01
F8,2.23543e+03,2.26213e+03,2.24519e+03,5.61510e+00
F9,2.50380e+03,2.54412e+03,2.52116e+03,1.00214e+01
F10,2.50231e+03,5.25599e+03,2.56427e+03,3.84751e+02
F11,3.40487e+03,3.60240e+03,3.49069e+03,5.10857e+01
F12,2.97341e+03,3.03125e+03,3.00108e+03,1.08346e+01
