Function,Best,Worst,Mean,StdDev
F1,3.42937e+02,3.59032e+03,7.70647e+02,6.84639e+02
F2,4.06673e+02,5.68281e+02,4.58313e+02,2.74823e+01
F3,6.00000e+02,6.04090e+02,6.00844e+02,9.30242e-01
F4,8.10945e+02,8.72632e+02,8.37002e+02,1.18515e+01
F5,9.00544e+02,1.23118e+03,9.22687e+02,4.67450e+01
F6,2.07059e+03,2.93471e+07,7.12801e+05,4.11032e+06
F7,2.02331e+03,2.17306e+03,2.04475e+03,2.17231e+01
F8,2.22118e+03,2.35821e+03,2.26160e+03,5.22400e+01
F9,2.48078e+03,2.62093e+03,2.50362e+03,3.01439e+01
F10,2.50053e+03,3.71856e+03,2.83124e+03,3.97648e+02
F11,2.90000e+03,4.74304e+03,3.45755e+03,4.35348e+02
F12,2.94746e+03,3.12597e+03,2.99614e+03,4.12521e+01
