Function,Best,Worst,Mean,StdDev
F1,2.63748e+02,4.89898e+09,7.45282e+08,1.05498e+09
F3,5.37006e+03,4.52270e+04,1.50711e+04,8.30540e+03
F4,4.88548e+02,9.53767e+02,5.77296e+02,8.49530e+01
F5,5.29849e+02,6.34424e+02,5.72828e+02,2.16190e+01
F6,6.00288e+02,6.09235e+02,6.02465e+02,1.73463e+00
F7,7.73981e+02,9.53524e+02,8.24102e+02,3.25312e+01
F8,8.40969e+02,9.02488e+02,8.68396e+02,1.38392e+01
F9,9.10908e+02,3.42945e+03,1.12840e+03,3.82027e+02
F10,2.38215e+03,5.74663e+03,4.30542e+03,7.16197e+02
F11,1.18620e+03,1.47378e+03,1.29219e+03,6.57572e+01
F12,6.29660e+04,3.00861e+08,2.04355e+07,5.60286e+07
F13,4.12273e+03,4.75269e+06,1.21878e+06,1.94553e+06
F14,2.15687e+03,1.90796e+05,4.65016e+04,4.37798e+04
F15,1.94431e+03,8.55657e+04,1.89847e+04,1.89982e+04
F16,1.83678e+03,3.16871e+03,2.51781e+03,2.92587e+02
F17,1.77740e+03,2.28285e+03,1.98043e+03,1.26138e+02
F18,8.69744e+04,3.91939e+06,7.72122e+05,8.34932e+05
F19,2.01075e+03,7.39699e+07,1.56394e+06,1.03547e+07
F20,2.11361e+03,2.77756e+03,2.32820e+03,1.33415e+02
F21,2.34694e+03,2.43236e+03,2.38666e+03,2.02582e+01
F22,2.30000e+03,6.57405e+03,3.85468e+03,1.53221e+03
F23,2.70716e+03,3.03357e+03,2.82870e+03,6.64761e+01
F24,2.93305e+03,3.20808e+03,3.04511e+03,6.45244e+01
F25,2.88504e+03,2.98330e+03,2.90289e+03,2.23320e+01
F26,3.12474e+03,5.70922e+03,4.49494e+03,6.09270e+02
F27,3.21013e+03,3.36406e+03,3.27091e+03,3.57820e+01
F28,3.22590e+03,3.47675e+03,3.30876e+03,5.31435e+01
F29,3.39586e+03,4.10580e+03,3.67317e+03,1.70958e+02
F30,6.26610e+03,2.13207e+06,1.77653e+05,4.00269e+05
