Function,Best,Worst,Mean,StdDev
F1,1.27565e-02,1.31927e-02,1.29296e-02,9.44567e-05
F2,6.37399e+03,7.55764e+03,6.55055e+03,1.82311e+02
F3,1.77260e+00,1.91576e+00,1.84452e+00,3.58274e-02
F4,3.05357e+03,3.18303e+03,3.09771e+03,3.05256e+01
F5,2.63902e+02,2.82843e+02,2.65482e+02,5.11966e+00
