Function,Best,Worst,Mean,StdDev
F1,6.68739e+03,1.62854e+09,4.81729e+08,5.13789e+08
F2,1.57013e+03,4.40435e+03,2.56838e+03,5.94941e+02
F3,7.39807e+02,8.84012e+02,7.84133e+02,3.04170e+01
F4,1.90000e+03,1.90833e+03,1.90108e+03,1.71088e+00
F5,2.05903e+04,3.10913e+06,6.54997e+05,7.35377e+05
F6,1.62808e+03,2.41085e+03,1.91717e+03,1.63552e+02
F7,8.11936e+03,2.61416e+06,2.18451e+05,3.84779e+05
F8,2.30814e+03,6.71363e+03,3.17499e+03,1.08239e+03
F9,2.80815e+03,2.95634e+03,2.86442e+03,3.96354e+01
F10,2.92372e+03,3.08010e+03,2.98038e+03,4.05708e+01
