Function,Best,Worst,Mean,StdDev
F1,7.26958e+08,2.28705e+09,1.57220e+09,3.74959e+08
F2,3.74354e+03,5.25921e+03,4.75655e+03,2.60440e+02
F3,8.45641e+02,8.87977e+02,8.70015e+02,1.08268e+01
F4,1.90124e+03,1.91154e+03,1.90825e+03,1.88916e+00
F5,1.23993e+05,6.91524e+05,2.73942e+05,1.05158e+05
F6,1.85213e+03,2.37547e+03,2.13729e+03,1.06463e+02
F7,2.00147e+04,1.34499e+05,6.14327e+04,2.51635e+04
F8,2.45623e+03,6.80508e+03,3.20865e+03,1.30598e+03
F9,2.91788e+03,2.99429e+03,2.95186e+03,1.42929e+01
F10,2.98029e+03,3.08195e+03,3.02702e+03,2.25451e+01
