F1,1.67616e+09,1.59885e+09,1.29551e+09,2.26723e+09,1.68362e+09,1.17276e+09,1.81055e+09,1.05900e+09,1.23673e+09,9.78575e+08,1.81684e+09,1.25814e+09,1.15423e+09,1.28693e+09,1.71252e+09,1.76239e+09,1.05287e+09,2.05243e+09,1.65387e+09,1.84009e+09,1.67534e+09,1.85265e+09,1.20662e+09,2.05713e+09,1.77246e+09,1.87440e+09,2.00350e+09,1.59528e+09,1.61198e+09,1.57413e+09,1.38011e+09,2.17715e+09,1.54042e+09,9.26747e+08,2.28705e+09,1.12997e+09,1.29197e+09,1.21135e+09,2.02871e+09,1.66760e+09,2.27450e+09,1.26498e+09,7.26958e+08,1.97531e+09,1.25221e+09,1.42380e+09,1.55268e+09,1.56143e+09,1.90879e+09,1.43572e+09
F2,4.73824e+03,5.09814e+03,5.08631e+03,4.65535e+03,4.94211e+03,4.94468e+03,4.86821e+03,5.02439e+03,4.78343e+03,5.01730e+03,4.94392e+03,4.63796e+03,4.71449e+03,4.98914e+03,4.92643e+03,4.41190e+03,4.47674e+03,4.71872e+03,4.59239e+03,3.74354e+03,4.44329e+03,4.69342e+03,5.05188e+03,4.88365e+03,4.27927e+03,5.12062e+03,4.77486e+03,5.00843e+03,5.25921e+03,4.84923e+03,4.67986e+03,4.54165e+03,4.73696e+03,4.86895e+03,4.79039e+03,4.94350e+03,4.62593e+03,4.85473e+03,4.82423e+03,4.34936e+03,4.75040e+03,4.75870e+03,4.91847e+03,4.80726e+03,4.64852e+03,4.37235e+03,4.55107e+03,4.51288e+03,4.98515e+03,4.62982e+03
F3,8.59577e+02,8.73862e+02,8.54273e+02,8.52972e+02,8.56624e+02,8.81063e+02,8.62934e+02,8.71312e+02,8.70570e+02,8.66982e+02,8.85060e+02,8.77704e+02,8.81501e+02,8.75261e+02,8.71278e+02,8.62873e+02,8.71426e+02,8.55039e+02,8.79840e+02,8.55525e+02,8.73282e+02,8.55301e+02,8.79017e+02,8.74366e+02,8.46880e+02,8.87020e+02,8.71116e+02,8.59884e+02,8.77028e+02,8.76499e+02,8.72778e+02,8.46125e+02,8.73619e+02,8.64090e+02,8.80839e+02,8.79714e+02,8.45641e+02,8.87977e+02,8.79446e+02,8.61466e+02,8.75100e+02,8.84379e+02,8.73654e+02,8.77389e+02,8.78023e+02,8.62897e+02,8.65917e+02,8.71511e+02,8.74785e+02,8.79317e+02
F4,1.90967e+03,1.90124e+03,1.91017e+03,1.90866e+03,1.90694e+03,1.90580e+03,1.90825e+03,1.90996e+03,1.90921e+03,1.90629e+03,1.90651e+03,1.90631e+03,1.91154e+03,1.90842e+03,1.90940e+03,1.91007e+03,1.90895e+03,1.90839e+03,1.90785e+03,1.90684e+03,1.90979e+03,1.90610e+03,1.90844e+03,1.91015e+03,1.90976e+03,1.90881e+03,1.90529e+03,1.90909e+03,1.90919e+03,1.91122e+03,1.90643e+03,1.90646e+03,1.90952e+03,1.91024e+03,1.90911e+03,1.90708e+03,1.90697e+03,1.90770e+03,1.90702e+03,1.91070e+03,1.90912e+03,1.90802e+03,1.90916e+03,1.90894e+03,1.90609e+03,1.90628e+03,1.91059e+03,1.90615e+03,1.90803e+03,1.91076e+03
F5,2.56471e+05,2.30193e+05,1.70707e+05,3.48523e+05,2.67397e+05,3.57493e+05,2.50319e+05,1.82810e+05,2.30691e+05,3.06297e+05,1.39116e+05,1.43564e+05,1.36804e+05,1.46605e+05,6.91524e+05,3.32248e+05,3.48987e+05,2.50894e+05,3.87415e+05,1.56848e+05,2.59203e+05,2.84119e+05,3.10047e+05,3.79575e+05,3.23679e+05,2.44177e+05,1.88078e+05,3.93624e+05,3.46457e+05,1.78066e+05,2.72644e+05,2.99850e+05,2.55861e+05,1.23993e+05,2.03101e+05,3.00535e+05,1.68137e+05,2.27935e+05,2.63169e+05,4.19184e+05,2.85202e+05,4.53032e+05,2.72254e+05,3.07663e+05,1.74705e+05,5.28335e+05,2.39840e+05,2.43603e+05,2.19301e+05,1.96814e+05
F6,2.01380e+03,2.10773e+03,1.98028e+03,2.17271e+03,2.37547e+03,2.25646e+03,2.07944e+03,2.17128e+03,2.36360e+03,2.03691e+03,2.09529e+03,2.11039e+03,2.05072e+03,2.07572e+03,2.26902e+03,2.17587e+03,2.16652e+03,1.91096e+03,2.14551e+03,2.19238e+03,2.35410e+03,2.27703e+03,1.85213e+03,2.14242e+03,2.19770e+03,2.22723e+03,2.21531e+03,2.07695e+03,1.99032e+03,2.07849e+03,2.22479e+03,2.17977e+03,2.16679e+03,2.07988e+03,2.19663e+03,2.20100e+03,2.23421e+03,2.03674e+03,2.14883e+03,2.06894e+03,2.13390e+03,2.11681e+03,2.20699e+03,2.28057e+03,2.00953e+03,2.07578e+03,2.10645e+03,2.12196e+03,2.04845e+03,2.06483e+03
F7,7.76266e+04,2.39041e+04,4.30553e+04,1.06314e+05,2.00147e+04,3.46408e+04,5.37431e+04,6.72395e+04,3.31790e+04,1.01622e+05,5.53863e+04,7.13765e+04,5.50766e+04,8.13071e+04,3.30872e+04,3.71060e+04,4.19429e+04,3.83836e+04,4.05465e+04,8.14675e+04,6.18810e+04,8.87517e+04,5.81440e+04,4.65626e+04,7.52144e+04,7.46232e+04,5.28403e+04,4.92197e+04,2.66665e+04,1.07770e+05,5.36040e+04,8.88761e+04,8.75476e+04,4.84208e+04,6.07575e+04,3.85094e+04,9.04935e+04,6.27734e+04,3.96324e+04,1.08684e+05,5.06807e+04,5.23797e+04,9.49443e+04,5.02341e+04,5.63465e+04,6.99437e+04,7.27956e+04,1.34499e+05,3.51698e+04,3.66526e+04
F8,2.94823e+03,2.72450e+03,2.56958e+03,2.65068e+03,2.57114e+03,2.77484e+03,6.61307e+03,2.64496e+03,2.64661e+03,2.58847e+03,2.67703e+03,2.60001e+03,2.74222e+03,2.70394e+03,2.80370e+03,2.78510e+03,2.92943e+03,2.59527e+03,2.65173e+03,2.75325e+03,6.65378e+03,2.56689e+03,2.58727e+03,4.04355e+03,6.67856e+03,2.71229e+03,2.53464e+03,3.09436e+03,2.67423e+03,6.69510e+03,2.59396e+03,6.80508e+03,2.91203e+03,2.52229e+03,2.58735e+03,2.47086e+03,3.62618e+03,2.75799e+03,2.64806e+03,2.75391e+03,2.81337e+03,2.61972e+03,2.59662e+03,2.56432e+03,2.67892e+03,2.55420e+03,2.45623e+03,6.59855e+03,2.76591e+03,2.89256e+03
F9,2.99429e+03,2.96405e+03,2.96700e+03,2.93475e+03,2.95283e+03,2.95878e+03,2.95884e+03,2.95277e+03,2.95104e+03,2.94416e+03,2.94917e+03,2.97273e+03,2.95257e+03,2.95830e+03,2.94168e+03,2.94261e+03,2.94948e+03,2.96343e+03,2.93300e+03,2.95182e+03,2.94180e+03,2.95709e+03,2.94946e+03,2.94580e+03,2.96548e+03,2.94133e+03,2.96895e+03,2.95802e+03,2.95271e+03,2.94427e+03,2.95940e+03,2.95593e+03,2.95914e+03,2.95533e+03,2.92502e+03,2.98512e+03,2.93605e+03,2.96155e+03,2.95314e+03,2.96538e+03,2.95305e+03,2.91788e+03,2.95254e+03,2.93045e+03,2.94597e+03,2.92949e+03,2.93818e+03,2.97170e+03,2.94402e+03,2.93531e+03
F10,3.02726e+03,2.99690e+03,3.02106e+03,3.02960e+03,3.00592e+03,3.02206e+03,3.05346e+03,3.00926e+03,3.05709e+03,3.04296e+03,3.04174e+03,3.04483e+03,3.02105e+03,3.02623e+03,3.01478e+03,3.05970e+03,3.06166e+03,3.01464e+03,3.01624e+03,3.03077e+03,3.03287e+03,2.98029e+03,3.04679e+03,3.03475e+03,3.05809e+03,3.01503e+03,2.98668e+03,3.05210e+03,3.01486e+03,3.02879e+03,3.04901e+03,3.00766e+03,3.08195e+03,2.98838e+03,2.99468e+03,3.02473e+03,3.04198e+03,2.99223e+03,3.03862e+03,3.03100e+03,3.03764e+03,3.06489e+03,3.00316e+03,3.02743e+03,3.01767e+03,3.00641e+03,3.03563e+03,3.02878e+03,2.98929e+03,3.04224e+03
