Function,Best,Worst,Mean,StdDev
F1,1.06043e+10,2.38678e+10,1.62499e+10,2.67728e+09
F3,3.27237e+04,7.81636e+04,5.51293e+04,1.01381e+04
F4,1.08722e+03,4.03032e+03,2.13057e+03,6.18652e+02
F5,7.50501e+02,8.54329e+02,8.05047e+02,2.24577e+01
F6,6.42919e+02,6.67313e+02,6.56764e+02,5.83611e+00
F7,1.07217e+03,1.32762e+03,1.18623e+03,5.16897e+01
F8,1.03663e+03,1.15972e+03,1.07082e+03,1.89466e+01
F9,4.40090e+03,1.00618e+04,6.75912e+03,1.36415e+03
F10,7.99828e+03,8.99988e+03,8.55605e+03,2.17600e+02
F11,1.89742e+03,4.33340e+03,2.64290e+03,5.31361e+02
F12,5.26899e+08,3.49691e+09,1.78076e+09,5.66034e+08
F13,2.30448e+08,2.65695e+09,6.73208e+08,3.64623e+08
F14,6.04157e+04,7.56066e+05,2.77849e+05,1.64155e+05
F15,1.36095e+06,1.28093e+08,2.56245e+07,2.71210e+07
F16,3.17022e+03,4.42671e+03,3.83170e+03,2.57802e+02
F17,2.19824e+03,2.96971e+03,2.61991e+03,1.84525e+02
F18,7.30728e+05,2.12856e+07,8.39682e+06,5.11380e+06
F19,9.43110e+06,1.93487e+08,5.37258e+07,3.63521e+07
F20,2.48452e+03,3.00097e+03,2.78091e+03,1.30159e+02
F21,2.51765e+03,2.65477e+03,2.57779e+03,2.22293e+01
F22,3.83520e+03,1.05377e+04,9.30767e+03,1.79787e+03
F23,2.96192e+03,3.13791e+03,3.03379e+03,3.72032e+01
F24,3.13166e+03,3.28238e+03,3.20802e+03,3.72986e+01
F25,3.15545e+03,4.42831e+03,3.37550e+03,1.94833e+02
F26,6.36382e+03,8.44532e+03,7.34297e+03,4.11401e+02
F27,3.37450e+03,3.57017e+03,3.46287e+03,4.77928e+01
F28,3.78343e+03,5.06253e+03,4.09456e+03,2.43113e+02
F29,4.50103e+03,5.52653e+03,4.97421e+03,2.02735e+02
F30,2.92742e+07,2.36049e+08,1.19203e+08,4.49330e+07
