Function,Best,Worst,Mean,StdDev
F1,1.74903e+06,1.37571e+07,5.61838e+06,2.39823e+06
F2,2.00964e+02,7.50038e+02,2.51180e+02,9.38014e+01
F3,3.00024e+02,3.00662e+02,3.00155e+02,1.37421e-01
F4,4.00073e+02,5.38192e+02,4.79454e+02,3.31005e+01
F5,5.20723e+02,5.21059e+02,5.20935e+02,6.67561e-02
F6,6.01147e+02,6.30507e+02,6.25184e+02,6.31965e+00
F7,7.00000e+02,7.00022e+02,7.00001e+02,3.52226e-03
F8,9.10791e+02,9.68254e+02,9.41126e+02,1.22307e+01
F9,1.03019e+03,1.08463e+03,1.06313e+03,1.42249e+01
F10,5.49548e+03,6.74641e+03,6.29306e+03,2.99093e+02
F11,6.49739e+03,7.81012e+03,7.37942e+03,2.88813e+02
F12,1.20140e+03,1.20276e+03,1.20226e+03,3.04375e-01
F13,1.30029e+03,1.30056e+03,1.30041e+03,6.06694e-02
F14,1.40015e+03,1.40041e+03,1.40033e+03,5.37709e-02
F15,1.51419e+03,1.51883e+03,1.51633e+03,1.14913e+00
F16,1.61221e+03,1.61310e+03,1.61270e+03,2.03093e-01
F17,6.72614e+03,9.21425e+04,2.00894e+04,1.62943e+04
F18,2.11294e+03,2.75676e+03,2.33066e+03,1.66346e+02
F19,1.90481e+03,1.90799e+03,1.90617e+03,6.78870e-01
F20,2.06097e+03,2.11545e+03,2.08528e+03,1.12971e+01
F21,3.70745e+03,4.81737e+03,4.26072e+03,2.64727e+02
F22,2.33785e+03,2.71251e+03,2.51294e+03,9.85160e+01
F23,2.61524e+03,2.61524e+03,2.61524e+03,6.72216e-07
F24,2.60068e+03,2.62555e+03,2.62082e+03,7.37051e+00
F25,2.70442e+03,2.71043e+03,2.70688e+03,1.08320e+00
F26,2.70025e+03,2.70054e+03,2.70039e+03,6.41306e-02
F27,3.10217e+03,3.11271e+03,3.10790e+03,2.12757e+00
F28,3.62818e+03,3.92136e+03,3.74990e+03,7.17725e+01
F29,5.00857e+03,2.13066e+04,8.32355e+03,2.96771e+03
F30,4.49509e+03,7.05173e+03,5.71251e+03,4.98230e+02
