Function,Best,Worst,Mean,StdDev
F1,1.45753e+08,6.30793e+08,3.32802e+08,1.02116e+08
F2,1.45068e+10,3.53204e+10,2.27733e+10,4.35489e+09
F3,3.54431e+04,8.24851e+04,5.13984e+04,9.52428e+03
F4,1.34035e+03,4.32162e+03,1.95188e+03,5.59757e+02
F5,5.20887e+02,5.21066e+02,5.21001e+02,4.67146e-02
F6,6.30782e+02,6.40733e+02,6.35918e+02,2.37414e+00
F7,8.09252e+02,1.01297e+03,8.84217e+02,3.76621e+01
F8,1.01903e+03,1.11162e+03,1.05980e+03,1.92202e+01
F9,1.15156e+03,1.26182e+03,1.19157e+03,2.05925e+01
F10,6.56635e+03,8.30649e+03,7.52284e+03,4.70257e+02
F11,7.63660e+03,9.11593e+03,8.45954e+03,3.44292e+02
F12,1.20233e+03,1.20371e+03,1.20296e+03,2.93764e-01
F13,1.30267e+03,1.30421e+03,1.30349e+03,3.53936e-01
F14,1.44288e+03,1.50031e+03,1.46064e+03,1.05218e+01
F15,2.22085e+03,5.49508e+04,1.01813e+04,9.12863e+03
F16,1.61227e+03,1.61365e+03,1.61308e+03,2.68779e-01
F17,3.03424e+06,2.74402e+07,1.14537e+07,4.81243e+06
F18,4.34166e+07,7.11873e+08,2.65240e+08,1.55679e+08
F19,1.97529e+03,2.10397e+03,2.02363e+03,2.95278e+01
F20,1.14601e+04,6.14997e+04,2.80028e+04,1.24627e+04
F21,9.69173e+05,9.33388e+06,2.72793e+06,1.77369e+06
F22,2.71868e+03,3.45332e+03,3.18046e+03,1.61722e+02
F23,2.65680e+03,2.72225e+03,2.69344e+03,1.43031e+01
F24,2.60022e+03,2.61438e+03,2.60303e+03,3.22003e+00
F25,2.70004e+03,2.76535e+03,2.73493e+03,1.19810e+01
F26,2.70188e+03,2.70432e+03,2.70323e+03,4.27740e-01
F27,3.25115e+03,4.13459e+03,3.74600e+03,3.02540e+02
F28,4.55389e+03,6.14065e+03,5.20930e+03,4.43130e+02
F29,1.17063e+07,4.30598e+07,2.58096e+07,9.56681e+06
F30,1.93634e+05,6.93037e+05,4.17180e+05,1.21566e+05
