Function,Best,Worst,Mean,StdDev
F1,3.66521e+02,6.62253e+03,1.77169e+03,1.38530e+03
F2,4.30293e+02,5.90843e+02,4.63701e+02,3.16154e+01
F3,6.03246e+02,6.46454e+02,6.13639e+02,8.50369e+00
F4,8.34928e+02,9.48639e+02,8.89992e+02,3.02889e+01
F5,9.60596e+02,8.30884e+03,1.72745e+03,1.02638e+03
F6,2.39110e+03,2.62945e+05,2.69630e+04,4.40975e+04
F7,2.03139e+03,2.20041e+03,2.08050e+03,3.88145e+01
F8,2.22543e+03,2.35306e+03,2.24472e+03,3.20624e+01
F9,2.48079e+03,2.48287e+03,2.48094e+03,3.11425e-01
F10,2.50060e+03,4.54139e+03,3.36168e+03,5.41374e+02
F11,2.60820e+03,3.29529e+03,2.98639e+03,1.53977e+02
F12,2.93995e+03,3.01906e+03,2.95651e+03,1.53434e+01
