Function,Best,Worst,Mean,StdDev
F1,1.00033e+02,1.02065e+02,1.00371e+02,3.98180e-01
F2,3.30310e+03,4.38077e+03,3.95500e+03,2.27805e+02
F3,7.81720e+02,8.16221e+02,7.98745e+02,8.61374e+00
F4,1.90499e+03,1.90885e+03,1.90708e+03,8.63101e-01
F5,2.57401e+03,3.32930e+03,3.01684e+03,1.76128e+02
F6,1.68570e+03,1.86555e+03,1.76095e+03,3.88229e+01
F7,2.47209e+03,3.23011e+03,2.81729e+03,1.38725e+02
F8,2.30000e+03,2.30000e+03,2.30000e+03,1.90621e-06
F9,2.85571e+03,2.89844e+03,2.87684e+03,8.77273e+00
F10,2.89932e+03,2.91378e+03,2.91310e+03,2.20058e+00
