F1,1.00608e+02,1.00379e+02,1.00176e+02,1.00123e+02,1.01006e+02,1.00840e+02,1.00519e+02,1.00060e+02,1.00662e+02,1.00473e+02,1.00177e+02,1.00676e+02,1.00060e+02,1.00304e+02,1.00425e+02,1.00337e+02,1.00137e+02,1.00347e+02,1.00346e+02,1.00222e+02,1.02065e+02,1.00102e+02,1.00108e+02,1.00186e+02,1.00039e+02,1.00147e+02,1.00565e+02,1.00190e+02,1.00076e+02,1.00497e+02,1.00841e+02,1.01335e+02,1.00160e+02,1.00212e+02,1.01233e+02,1.00072e+02,1.01009e+02,1.00060e+02,1.00033e+02,1.00062e+02,1.00232e+02,1.00238e+02,1.00203e+02,1.00051e+02,1.00092e+02,1.00335e+02,1.00136e+02,1.00089e+02,1.00207e+02,1.00112e+02
F2,4.13942e+03,3.97537e+03,3.79708e+03,4.14990e+03,3.97032e+03,3.96331e+03,3.91977e+03,4.10863e+03,4.14174e+03,3.59658e+03,3.97498e+03,3.90833e+03,3.96127e+03,3.87525e+03,3.95223e+03,4.29495e+03,4.19985e+03,3.76670e+03,3.78470e+03,3.37440e+03,4.08776e+03,4.31848e+03,4.04497e+03,3.78428e+03,4.34209e+03,3.59789e+03,3.92476e+03,3.96891e+03,3.75659e+03,4.38077e+03,4.06101e+03,3.72527e+03,4.13047e+03,3.91633e+03,3.77903e+03,4.08090e+03,3.96507e+03,3.30310e+03,3.67902e+03,4.13404e+03,3.63770e+03,3.77172e+03,3.91469e+03,3.96542e+03,4.19666e+03,3.85611e+03,4.06952e+03,4.23511e+03,4.11476e+03,4.15268e+03
F3,7.82519e+02,7.88907e+02,7.89768e+02,7.88411e+02,7.89125e+02,8.06348e+02,8.04156e+02,7.90181e+02,7.97061e+02,8.07241e+02,8.10650e+02,8.16221e+02,8.01263e+02,7.95901e+02,7.98305e+02,8.07568e+02,7.98984e+02,8.05907e+02,7.91830e+02,7.81720e+02,8.04328e+02,8.04570e+02,7.93124e+02,7.87879e+02,8.06760e+02,8.09698e+02,7.96184e+02,8.09254e+02,7.93970e+02,7.96154e+02,8.14857e+02,8.04304e+02,7.97303e+02,8.05653e+02,8.11468e+02,7.90710e+02,7.93632e+02,8.00065e+02,7.91448e+02,7.97040e+02,7.95492e+02,8.03927e+02,7.83896e+02,8.04354e+02,7.94345e+02,8.06726e+02,8.03045e+02,8.06405e+02,7.82916e+02,7.95688e+02
F4,1.90740e+03,1.90782e+03,1.90798e+03,1.90561e+03,1.90679e+03,1.90677e+03,1.90728e+03,1.90658e+03,1.90721e+03,1.90693e+03,1.90885e+03,1.90700e+03,1.90715e+03,1.90579e+03,1.90711e+03,1.90509e+03,1.90696e+03,1.90729e+03,1.90650e+03,1.90740e+03,1.90690e+03,1.90839e+03,1.90731e+03,1.90735e+03,1.90499e+03,1.90790e+03,1.90820e+03,1.90675e+03,1.90758e+03,1.90828e+03,1.90707e+03,1.90684e+03,1.90594e+03,1.90732e+03,1.90761e+03,1.90683e+03,1.90680e+03,1.90767e+03,1.90579e+03,1.90669e+03,1.90752e+03,1.90806e+03,1.90828e+03,1.90513e+03,1.90741e+03,1.90662e+03,1.90832e+03,1.90774e+03,1.90724e+03,1.90601e+03
F5,3.06623e+03,2.94212e+03,2.75921e+03,3.15057e+03,3.16305e+03,3.03647e+03,3.02043e+03,3.26608e+03,3.32930e+03,2.85578e+03,3.01887e+03,2.78368e+03,2.94328e+03,3.27864e+03,3.17185e+03,3.27930e+03,3.30886e+03,2.88076e+03,2.84180e+03,2.96781e+03,3.06061e+03,3.27343e+03,3.26108e+03,2.80717e+03,3.00752e+03,2.57401e+03,2.80013e+03,3.23417e+03,2.88988e+03,2.86945e+03,3.06659e+03,3.12857e+03,2.96841e+03,2.86659e+03,2.79203e+03,3.06592e+03,3.05565e+03,3.06834e+03,3.14585e+03,3.22332e+03,3.27210e+03,3.11052e+03,2.85881e+03,3.04696e+03,2.86579e+03,2.97127e+03,2.91149e+03,2.88930e+03,2.96345e+03,2.72967e+03
F6,1.75051e+03,1.79000e+03,1.77562e+03,1.74462e+03,1.73464e+03,1.69883e+03,1.77535e+03,1.78903e+03,1.70533e+03,1.82019e+03,1.69598e+03,1.81717e+03,1.69800e+03,1.68570e+03,1.78807e+03,1.79232e+03,1.73004e+03,1.73133e+03,1.77237e+03,1.86203e+03,1.77500e+03,1.76107e+03,1.78023e+03,1.75679e+03,1.73639e+03,1.78842e+03,1.72888e+03,1.78027e+03,1.72255e+03,1.74197e+03,1.79809e+03,1.77700e+03,1.86555e+03,1.72835e+03,1.78993e+03,1.74588e+03,1.76197e+03,1.79941e+03,1.72259e+03,1.74626e+03,1.74601e+03,1.71127e+03,1.74541e+03,1.75883e+03,1.75668e+03,1.72215e+03,1.77449e+03,1.77229e+03,1.78684e+03,1.80961e+03
F7,2.70503e+03,2.86630e+03,2.78650e+03,2.76245e+03,2.73806e+03,2.93882e+03,2.78087e+03,2.55641e+03,3.02247e+03,2.96600e+03,2.99893e+03,2.82357e+03,2.80226e+03,2.92789e+03,2.93667e+03,2.82665e+03,2.60409e+03,2.89966e+03,2.94711e+03,2.56888e+03,2.94292e+03,2.63521e+03,3.00960e+03,2.47209e+03,2.78892e+03,2.73636e+03,2.81004e+03,2.73148e+03,2.90554e+03,2.53048e+03,2.87086e+03,2.74454e+03,2.74456e+03,2.88699e+03,2.90626e+03,2.74040e+03,2.78055e+03,2.76405e+03,2.75820e+03,2.85400e+03,3.23011e+03,2.87652e+03,2.76448e+03,2.80041e+03,2.97486e+03,2.86655e+03,2.67043e+03,2.95549e+03,2.85719e+03,2.79661e+03
F8,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03,2.30000e+03
F9,2.88243e+03,2.87853e+03,2.87286e+03,2.86822e+03,2.86956e+03,2.86470e+03,2.88484e+03,2.87149e+03,2.88138e+03,2.88996e+03,2.86047e+03,2.86370e+03,2.87082e+03,2.88343e+03,2.88138e+03,2.85903e+03,2.87929e+03,2.87850e+03,2.87034e+03,2.87602e+03,2.89129e+03,2.87287e+03,2.86846e+03,2.87863e+03,2.86891e+03,2.86731e+03,2.88523e+03,2.89844e+03,2.87815e+03,2.88580e+03,2.87925e+03,2.85571e+03,2.88426e+03,2.86736e+03,2.87483e+03,2.87638e+03,2.88346e+03,2.87305e+03,2.87709e+03,2.88053e+03,2.87220e+03,2.88318e+03,2.87896e+03,2.88265e+03,2.87999e+03,2.89640e+03,2.88565e+03,2.87510e+03,2.87455e+03,2.87927e+03
F10,2.91367e+03,2.89932e+03,2.91368e+03,2.91367e+03,2.91006e+03,2.91367e+03,2.91367e+03,2.91371e+03,2.91366e+03,2.91366e+03,2.91366e+03,2.91367e+03,2.91366e+03,2.91001e+03,2.91366e+03,2.91366e+03,2.91367e+03,2.91368e+03,2.91366e+03,2.91368e+03,2.91366e+03,2.91377e+03,2.91366e+03,2.91366e+03,2.91366e+03,2.91368e+03,2.91368e+03,2.91366e+03,2.91371e+03,2.91366e+03,2.91366e+03,2.91369e+03,2.91009e+03,2.91367e+03,2.91366e+03,2.91366e+03,2.91366e+03,2.91368e+03,2.91367e+03,2.91366e+03,2.91368e+03,2.91367e+03,2.91368e+03,2.91371e+03,2.91366e+03,2.91378e+03,2.91004e+03,2.91375e+03,2.91367e+03,2.91370e+03
