Function,Best,Worst,Mean,StdDev
F1,1.00005e+02,8.07703e+03,1.74992e+03,1.97791e+03
F2,1.48605e+03,2.28302e+03,1.86425e+03,1.65602e+02
F3,7.23911e+02,7.63693e+02,7.46922e+02,1.01990e+01
F4,1.90000e+03,1.90000e+03,1.90000e+03,0.00000e+00
F5,3.78001e+03,1.92360e+05,6.20482e+04,4.00472e+04
F6,1.60049e+03,1.60309e+03,1.60175e+03,5.27648e-01
F7,2.71237e+03,5.09969e+04,1.77079e+04,1.28026e+04
F8,2.30000e+03,2.30348e+03,2.30112e+03,1.07502e+00
F9,2.81606e+03,2.87789e+03,2.83704e+03,1.25544e+01
F10,2.91405e+03,3.03788e+03,2.98513e+03,2.76500e+01
