Function,Best,Worst,Mean,StdDev
F1,7.51922e+05,1.23016e+07,5.49660e+06,3.26752e+06
F2,9.33003e+02,3.30611e+04,1.47796e+04,8.18076e+03
F3,6.45687e+02,6.96414e+03,2.05930e+03,1.39331e+03
F4,4.26610e+02,5.59705e+02,5.10729e+02,3.29840e+01
F5,5.20424e+02,5.20646e+02,5.20552e+02,4.44244e-02
F6,6.06984e+02,6.16555e+02,6.12412e+02,2.22054e+00
F7,7.00001e+02,7.00223e+02,7.00042e+02,4.17860e-02
F8,8.25723e+02,8.46936e+02,8.36809e+02,5.51922e+00
F9,9.46763e+02,1.06120e+03,9.89921e+02,2.71959e+01
F10,1.50536e+03,2.07455e+03,1.77706e+03,1.42467e+02
F11,3.89170e+03,5.85354e+03,5.17758e+03,3.60739e+02
F12,1.20068e+03,1.20116e+03,1.20092e+03,1.13424e-01
F13,1.30020e+03,1.30049e+03,1.30036e+03,5.81104e-02
F14,1.40018e+03,1.40036e+03,1.40026e+03,4.06855e-02
F15,1.50548e+03,1.52328e+03,1.51300e+03,4.40478e+00
F16,1.61028e+03,1.61175e+03,1.61117e+03,3.18915e-01
F17,2.96636e+04,9.65832e+05,2.88746e+05,2.21545e+05
F18,1.84091e+03,7.59551e+03,2.75353e+03,1.25735e+03
F19,1.90580e+03,1.97649e+03,1.91471e+03,1.77763e+01
F20,2.76985e+03,1.43469e+04,8.35371e+03,3.03608e+03
F21,5.03733e+03,3.94758e+05,7.28634e+04,6.91298e+04
F22,2.26578e+03,2.78822e+03,2.46931e+03,1.12252e+02
F23,2.50000e+03,2.61528e+03,2.60833e+03,2.73695e+01
F24,2.60000e+03,2.60000e+03,2.60000e+03,6.88668e-04
F25,2.70000e+03,2.70000e+03,2.70000e+03,0.00000e+00
F26,2.70024e+03,2.80000e+03,2.75220e+03,4.97533e+01
F27,3.10299e+03,3.58201e+03,3.30546e+03,1.44785e+02
F28,3.55974e+03,4.31347e+03,3.79790e+03,1.62330e+02
F29,3.61518e+03,8.92592e+06,1.22237e+06,3.01920e+06
F30,4.25099e+03,2.94503e+04,6.44938e+03,3.49299e+03
