Function,Best,Worst,Mean,StdDev
F1,4.31900e+06,4.95397e+07,1.70678e+07,8.87241e+06
F2,2.08458e+02,6.52180e+03,1.11903e+03,1.32567e+03
F3,3.61692e+02,8.87316e+03,2.44278e+03,1.82373e+03
F4,4.06867e+02,5.20344e+02,4.75233e+02,2.29007e+01
F5,5.20140e+02,5.20335e+02,5.20252e+02,4.23574e-02
F6,6.10305e+02,6.20272e+02,6.16807e+02,1.78458e+00
F7,7.00001e+02,7.00033e+02,7.00008e+02,6.97944e-03
F8,8.00000e+02,8.01317e+02,8.00355e+02,4.52361e-01
F9,9.74861e+02,1.03467e+03,1.00489e+03,1.59899e+01
F10,1.00255e+03,1.01643e+03,1.00821e+03,3.54354e+00
F11,2.70408e+03,3.96937e+03,3.49909e+03,2.54760e+02
F12,1.20021e+03,1.20042e+03,1.20031e+03,4.59035e-02
F13,1.30017e+03,1.30034e+03,1.30026e+03,3.68011e-02
F14,1.40017e+03,1.40028e+03,1.40023e+03,2.49039e-02
F15,1.50712e+03,1.51430e+03,1.51128e+03,1.58281e+00
F16,1.60966e+03,1.61128e+03,1.61073e+03,3.49243e-01
F17,2.39455e+05,1.60061e+07,4.57726e+06,3.12587e+06
F18,2.21423e+03,3.16300e+04,6.62485e+03,4.84197e+03
F19,1.90759e+03,1.91258e+03,1.90986e+03,1.14639e+00
F20,4.92131e+03,2.68333e+04,1.36841e+04,5.86455e+03
F21,2.27280e+05,2.09133e+06,6.64022e+05,3.60442e+05
F22,2.39204e+03,2.87814e+03,2.61546e+03,1.25770e+02
F23,2.61525e+03,2.61885e+03,2.61597e+03,6.29852e-01
F24,2.60824e+03,2.63174e+03,2.62825e+03,3.05730e+00
F25,2.70565e+03,2.71335e+03,2.71064e+03,1.47958e+00
F26,2.70031e+03,2.70062e+03,2.70044e+03,8.03832e-02
F27,3.10826e+03,3.14573e+03,3.12028e+03,8.24091e+00
F28,3.69721e+03,4.28121e+03,3.89912e+03,1.39645e+02
F29,3.98392e+03,5.48272e+03,4.57338e+03,4.17496e+02
F30,5.99302e+03,1.62024e+04,9.49555e+03,2.05815e+03
